coinaday1, 1, 2020-11-01 00:02:35, @Marshmall0wpeep It's just like TSLA: you can't bet on it and be surprised when the inevitable happens., 
ContrarianShort, 16, 2020-11-01 00:01:54, @markbspiegel $TSLA is having its Blackberry moment, 
David_Beharall, 0, 2020-11-01 00:00:00, $snap $pola $vxrt $msft $aal $gaxy $aapl $sunw $xspa $pins $dkng $opti $boxl $nkla $lca $fb $srne $rkt $gme $wkhs… https://t.co/ElCrmeM2fa, 
hmeislerfx, 0, 2020-10-31 23:57:55, RT @hmeisler: TSLA under 50 dma for first time since April, 
EVfreshAir, 0, 2020-10-31 23:57:27, @strive98933134 @alex_avoigt ARK 2024 TSLA SP Scenarios (Post Split)Expected Value:$1400Bear case: $300Bull Case… https://t.co/onAMa2ADzX, 
John10510, 2, 2020-10-31 23:55:43, @ChrisDungeon @stevenmarkryan Ha if they took a minute to think they wouldn't be short TSLA stock.  In the comi… https://t.co/Of4XvPHkmJ, 
Gambiste1, 0, 2020-10-31 23:55:35, RT @stockmarkettile: Jaguar $TTM spends $3325 per vehicle soldLincoln $F spends $2550 per vehicle sold Honda $HMC spends $258 per veh…, 
OptionRunners, 3, 2020-10-31 23:53:02, I'm watching $AMD $MU and $TSLA next week https://t.co/HVKObTviMm, 
imtiaz_gold, 1, 2020-10-31 23:50:41, $TSLA HAS NO AMMO UNTIL FSD WHICH IS ATLEAST FEW YEARS AWAY...AND WILL ALL THE CAPEX THERE WILL BE NO PROFIT TO SHOW FOR NEXT 9 QUARTERS, 
David_Beharall, 1, 2020-10-31 23:50:00, $pola $opti $wkhs $fsr $ino $lca $mrna $nkla $blnk $nio $tsla $pins $fsly $vxrt $aal $ibio $gaxy $halb $boxl $aapl… https://t.co/e347HV1QTp, 
imtiaz_gold, 1, 2020-10-31 23:49:47, $TSLA LOW TARGET IS 110 WHICH IS EQUAL TO $550 PRE SPLIT...SHORT ARE IN FULL FORCE..., 
dcblocher, 0, 2020-10-31 23:45:27, RT @super_trades: $HYLN you cannot have short squeeze without tons of shorts … exactly what they tried to do with $TSLA…. I would look at t…, 
teslafuns, 0, 2020-10-31 23:45:13, RT @garyblack00: Through 3Q YTD $TSLA now has 26% global share of Battery EVs.  What’s amazing about TSLA’s EV share is it keeps growing d…, 
RightAlerts, 0, 2020-10-31 23:45:00, $gevo $vxrt $penn $boxl $pins $dkng $mara $fsly $sunw $fsr  $msft $aal $gme $rkt  $nkla $aapl $tsla $opti $xspa… https://t.co/IQ4lkm0NLt, 
